====================================================================================================================================================================================
DEGRADED DATA EXPERIMENT - FULL RESULTS
Win comparison: Traffic vs GNN only  (Shortest path and Classifier are recorded but NOT included in wins/losses)
Date: 20260514_215944
Routes: 20, Scenarios: 6, Levels: 12
Runs per level: 120
====================================================================================================================================================================================

SUMMARY BY DEGRADATION LEVEL
(Wins = Traffic vs GNN comparison only; Ties = within 2-second threshold)

   Level |   GNN W | Traffic | Ties |  Win % |      Avg Times |        Δ |    Impr | Compute Times
  ------------------------------------------------------------------------------------------------------------------------
   minor |  35/119 |  20/119 |  64 |   29.4% | T: 881.1s G: 869.7s | Δ:  29.4s |    +1.3% | T:0.082s G:0.514s
     90% |   6/119 |  65/119 |  48 |    5.0% | T: 843.4s G: 876.9s | Δ:  34.1s |    +3.8% | T:0.093s G:0.523s
     80% |  15/119 |  61/119 |  43 |   12.6% | T: 847.7s G: 877.9s | Δ:  35.6s |    +3.4% | T:0.095s G:0.516s
     70% |  13/119 |  65/119 |  41 |   10.9% | T: 854.0s G: 888.3s | Δ:  41.1s |    +3.9% | T:0.095s G:0.530s
     60% |  20/119 |  63/119 |  36 |   16.8% | T: 861.6s G: 892.5s | Δ:  40.6s |    +3.5% | T:0.089s G:0.484s
     50% |  33/119 |  51/119 |  35 |   27.7% | T: 871.9s G: 895.8s | Δ:  43.7s |    +2.7% | T:0.088s G:0.485s
     40% |  39/119 |  50/119 |  30 |   32.8% | T: 891.9s G: 901.7s | Δ:  48.8s |    +1.1% | T:0.087s G:0.480s
     30% |  41/119 |  49/119 |  29 |   34.5% | T: 893.7s G: 900.6s | Δ:  43.3s |    +0.8% | T:0.086s G:0.483s
     20% |  45/119 |  44/119 |  30 |   37.8% | T: 922.4s G: 916.8s | Δ:  73.8s |    +0.6% | T:0.087s G:0.497s
     10% |  52/119 |  45/119 |  22 |   43.7% | T: 944.8s G: 944.7s | Δ:  72.4s |    +0.0% | T:0.092s G:0.518s
      5% |  62/119 |  35/119 |  22 |   52.1% | T: 967.8s G: 939.5s | Δ:  73.2s |    +2.9% | T:0.085s G:0.499s
      0% |  47/119 |  40/119 |  32 |   39.5% | T: 961.7s G: 955.4s | Δ:  34.6s |    +0.7% | T:0.081s G:0.494s


DETAILED RESULTS (per route)
   Level | Route                          | Scenario                            | Dist(km) |    Winner | Short(s)  Traf(s)   GNN(s)   Cls(s)
   minor | Salininkai to Seskine          | all bridges old town destroyed_optimistic |    10.27 |       TIE |     1221      991      991     1118
   minor | Old Town loop                  | Car crashes in Lazdynai             |     1.53 |       TIE |      333      328      328      328
   minor | Gediminas Ave                  | Car crashes in Lazdynai             |     1.08 |       TIE |      237      237      237      237
   minor | Station to centre              | Car crashes in Lazdynai             |     1.69 |       TIE |      453      424      424      421
   minor | Uzupis internal                | Car crashes in Lazdynai             |     2.14 |       TIE |      368      368      368      368
   minor | Zirmunai to Naujamiestis       | Car crashes in Lazdynai             |     5.68 |   TRAFFIC |     1053      756      871     1091
   minor | Antakalnis to centre           | Car crashes in Lazdynai             |     3.93 |       TIE |      673      618      618      668
   minor | Seskine to Old Town            | Car crashes in Lazdynai             |     6.05 |       GNN |      759      741      731      779
   minor | Karoliniskes to Uzupis         | Car crashes in Lazdynai             |     7.56 |   TRAFFIC |     1114     1043     1068     1161
   minor | Justiniskes to centre          | Car crashes in Lazdynai             |     6.61 |       GNN |      785      888      802      808
   minor | Fabijoniskes to river          | Car crashes in Lazdynai             |     6.13 |       TIE |      669      669      669      911
   minor | West to East                   | Car crashes in Lazdynai             |    13.05 |       GNN |     1523     1459     1400     1707
   minor | North to South                 | Car crashes in Lazdynai             |    11.58 |       TIE |     1221      880      880     1107
   minor | Pilaite to Pasilaiciai         | Car crashes in Lazdynai             |     9.88 |       GNN |      929     1014      929     1108
   minor | Lazdynai to Antakalnis         | Car crashes in Lazdynai             |    10.11 |       TIE |     1404      938      938     1220
   minor | Pilaite to Fabijoniskes        | Car crashes in Lazdynai             |    10.76 |       GNN |     1030     1064     1052     1209
   minor | Lazdynai to Jeruzale           | Car crashes in Lazdynai             |     9.79 |       GNN |     1078     1023      862     1035
   minor | South to Northeast             | Car crashes in Lazdynai             |    11.13 |       TIE |     1716     1072     1072     1287
   minor | Ring road W to E               | Car crashes in Lazdynai             |    16.35 |   TRAFFIC |     1920     1099     1105     1876
   minor | Grigiskes to Verkiai           | Car crashes in Lazdynai             |    24.31 |       TIE |     1923     1736     1736     1855
   minor | Salininkai to Seskine          | Car crashes in Lazdynai             |     9.30 |       TIE |     1079      730      730      741
   minor | Old Town loop                  | Protest at seimas Closure on Gedimino pr. |     1.53 |       TIE |      333      328      328      328
   minor | Station to centre              | Protest at seimas Closure on Gedimino pr. |     1.69 |       TIE |      453      424      424      421
   minor | Uzupis internal                | Protest at seimas Closure on Gedimino pr. |     2.14 |       TIE |      368      368      368      368
   minor | Zirmunai to Naujamiestis       | Protest at seimas Closure on Gedimino pr. |     5.68 |   TRAFFIC |     1053      756      871     1091
   minor | Antakalnis to centre           | Protest at seimas Closure on Gedimino pr. |     3.93 |       TIE |      673      618      618      668
   minor | Seskine to Old Town            | Protest at seimas Closure on Gedimino pr. |     6.65 |       GNN |      952      906      903      939
   minor | Karoliniskes to Uzupis         | Protest at seimas Closure on Gedimino pr. |     8.49 |       GNN |     1361     1227     1011     1484
   minor | Justiniskes to centre          | Protest at seimas Closure on Gedimino pr. |     6.61 |       GNN |      785      888      802      808
   minor | Fabijoniskes to river          | Protest at seimas Closure on Gedimino pr. |     6.13 |       TIE |      669      669      669      911
   minor | West to East                   | Protest at seimas Closure on Gedimino pr. |    13.05 |       GNN |     1523     1459     1400     1707
   minor | North to South                 | Protest at seimas Closure on Gedimino pr. |    11.58 |       TIE |     1221      880      880     1107
   minor | Pilaite to Pasilaiciai         | Protest at seimas Closure on Gedimino pr. |     9.88 |       GNN |      929     1014      929     1108
   minor | Lazdynai to Antakalnis         | Protest at seimas Closure on Gedimino pr. |    10.30 |       TIE |     1116      938      938     1031
   minor | Pilaite to Fabijoniskes        | Protest at seimas Closure on Gedimino pr. |    10.76 |       GNN |     1030     1064     1052     1209
   minor | Lazdynai to Jeruzale           | Protest at seimas Closure on Gedimino pr. |     9.79 |       GNN |     1078     1023      862     1035
   minor | South to Northeast             | Protest at seimas Closure on Gedimino pr. |    11.29 |       TIE |     1657     1072     1072     1287
   minor | Ring road W to E               | Protest at seimas Closure on Gedimino pr. |    16.39 |   TRAFFIC |     1109     1099     1105     1115
   minor | Grigiskes to Verkiai           | Protest at seimas Closure on Gedimino pr. |    24.31 |       TIE |     1923     1736     1736     1855
   minor | Salininkai to Seskine          | Protest at seimas Closure on Gedimino pr. |     9.30 |       TIE |     1079      730      730      741
   minor | Old Town loop                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.53 |       TIE |      333      328      328      328
   minor | Gediminas Ave                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.08 |       TIE |      237      237      237      237
   minor | Station to centre              | Shopping spree at Ozas while Ukmerges g. has construction |     1.69 |       TIE |      453      424      424      421
   minor | Uzupis internal                | Shopping spree at Ozas while Ukmerges g. has construction |     2.14 |       TIE |      368      368      368      368
   minor | Zirmunai to Naujamiestis       | Shopping spree at Ozas while Ukmerges g. has construction |     5.68 |   TRAFFIC |     1053      756      871     1091
   minor | Antakalnis to centre           | Shopping spree at Ozas while Ukmerges g. has construction |     3.93 |       TIE |      673      618      618      668
   minor | Seskine to Old Town            | Shopping spree at Ozas while Ukmerges g. has construction |     6.05 |       GNN |      759      741      731      779
   minor | Karoliniskes to Uzupis         | Shopping spree at Ozas while Ukmerges g. has construction |     7.56 |   TRAFFIC |     1114     1043     1068     1161
   minor | Justiniskes to centre          | Shopping spree at Ozas while Ukmerges g. has construction |     6.61 |       GNN |      785      888      802      808
   minor | Fabijoniskes to river          | Shopping spree at Ozas while Ukmerges g. has construction |     6.13 |       TIE |      669      669      669      911
   minor | West to East                   | Shopping spree at Ozas while Ukmerges g. has construction |    13.05 |       GNN |     1523     1459     1400     1707
   minor | North to South                 | Shopping spree at Ozas while Ukmerges g. has construction |    11.58 |       TIE |     1221      880      880     1107
   minor | Pilaite to Pasilaiciai         | Shopping spree at Ozas while Ukmerges g. has construction |     9.88 |       GNN |      929     1014      929     1108
   minor | Lazdynai to Antakalnis         | Shopping spree at Ozas while Ukmerges g. has construction |    10.11 |       TIE |     1404      938      938     1220
   minor | Pilaite to Fabijoniskes        | Shopping spree at Ozas while Ukmerges g. has construction |    10.76 |       GNN |     1030     1064     1052     1209
   minor | Lazdynai to Jeruzale           | Shopping spree at Ozas while Ukmerges g. has construction |     9.79 |       GNN |     1078     1023      862     1035
   minor | South to Northeast             | Shopping spree at Ozas while Ukmerges g. has construction |    11.13 |       TIE |     1716     1072     1072     1287
   minor | Ring road W to E               | Shopping spree at Ozas while Ukmerges g. has construction |    16.35 |   TRAFFIC |     1920     1099     1105     1876
   minor | Grigiskes to Verkiai           | Shopping spree at Ozas while Ukmerges g. has construction |    24.31 |       TIE |     1923     1736     1736     1855
   minor | Salininkai to Seskine          | Shopping spree at Ozas while Ukmerges g. has construction |     9.30 |       TIE |     1079      730      730      741
   minor | Old Town loop                  | Vingis park concert congestions + road closure |     1.53 |       TIE |      333      328      328      328
   minor | Gediminas Ave                  | Vingis park concert congestions + road closure |     1.08 |       TIE |      237      237      237      237
   minor | Station to centre              | Vingis park concert congestions + road closure |     1.69 |       TIE |      453      424      424      421
   minor | Uzupis internal                | Vingis park concert congestions + road closure |     2.14 |       TIE |      368      368      368      368
   minor | Zirmunai to Naujamiestis       | Vingis park concert congestions + road closure |     5.68 |   TRAFFIC |     1053      716      871     1091
   minor | Antakalnis to centre           | Vingis park concert congestions + road closure |     3.93 |       TIE |      673      618      618      668
   minor | Seskine to Old Town            | Vingis park concert congestions + road closure |     6.05 |       GNN |      759      741      731      779
   minor | Karoliniskes to Uzupis         | Vingis park concert congestions + road closure |     7.56 |   TRAFFIC |     1114     1043     1068     1161
   minor | Justiniskes to centre          | Vingis park concert congestions + road closure |     6.61 |       GNN |      785      888      802      808
   minor | Fabijoniskes to river          | Vingis park concert congestions + road closure |     6.13 |       TIE |      669      669      669      911
   minor | West to East                   | Vingis park concert congestions + road closure |    13.05 |       GNN |     1523     1459     1400     1707
   minor | North to South                 | Vingis park concert congestions + road closure |    11.58 |       TIE |     1221      880      880     1107
   minor | Pilaite to Pasilaiciai         | Vingis park concert congestions + road closure |     9.88 |       GNN |      929     1014      929     1108
   minor | Lazdynai to Antakalnis         | Vingis park concert congestions + road closure |    10.11 |       TIE |     1404      938      938     1220
   minor | Pilaite to Fabijoniskes        | Vingis park concert congestions + road closure |    10.76 |       GNN |     1030     1064     1052     1209
   minor | Lazdynai to Jeruzale           | Vingis park concert congestions + road closure |     9.79 |       GNN |     1078     1023      862     1035
   minor | South to Northeast             | Vingis park concert congestions + road closure |    11.13 |       TIE |     1716     1072     1072     1287
   minor | Ring road W to E               | Vingis park concert congestions + road closure |    16.35 |   TRAFFIC |     1920     1099     1105     1876
   minor | Grigiskes to Verkiai           | Vingis park concert congestions + road closure |    24.31 |       TIE |     1923     1736     1736     1855
   minor | Salininkai to Seskine          | Vingis park concert congestions + road closure |     9.30 |       TIE |     1079      730      730      741
     90% | Old Town loop                  | Normal traffic                      |     1.53 |       TIE |      333      328      328      328
     90% | Gediminas Ave                  | Normal traffic                      |     1.08 |   TRAFFIC |      237      234      249      234
     90% | Station to centre              | Normal traffic                      |     1.69 |   TRAFFIC |      453      421      457      421
     90% | Uzupis internal                | Normal traffic                      |     2.14 |       TIE |      368      368      368      368
     90% | Zirmunai to Naujamiestis       | Normal traffic                      |     5.68 |   TRAFFIC |     1053      716      911     1091
     90% | Antakalnis to centre           | Normal traffic                      |     3.93 |   TRAFFIC |      673      596      598      756
     90% | Seskine to Old Town            | Normal traffic                      |     6.05 |   TRAFFIC |      759      723      731      779
     90% | Karoliniskes to Uzupis         | Normal traffic                      |     7.56 |   TRAFFIC |     1114      973     1068     1161
     90% | Justiniskes to centre          | Normal traffic                      |     6.61 |       GNN |      785      745      737      808
     90% | Fabijoniskes to river          | Normal traffic                      |     6.13 |   TRAFFIC |      669      711      719      911
     90% | West to East                   | Normal traffic                      |    13.05 |   TRAFFIC |     1523     1333     1575     1707
     90% | North to South                 | Normal traffic                      |    11.58 |       TIE |     1221      880      880     1107
     90% | Pilaite to Pasilaiciai         | Normal traffic                      |     9.88 |       GNN |      929      937      929     1108
     90% | Lazdynai to Antakalnis         | Normal traffic                      |    10.11 |       TIE |     1404      926      927     1220
     90% | Pilaite to Fabijoniskes        | Normal traffic                      |    10.76 |   TRAFFIC |     1030     1030     1085     1209
     90% | Lazdynai to Jeruzale           | Normal traffic                      |     9.79 |       TIE |     1078      838      838     1035
     90% | South to Northeast             | Normal traffic                      |    11.13 |       TIE |     1716     1072     1072     1287
     90% | Ring road W to E               | Normal traffic                      |    16.35 |   TRAFFIC |     1920     1099     1115     1876
     90% | Grigiskes to Verkiai           | Normal traffic                      |    24.31 |   TRAFFIC |     1923     1698     1736     1855
     90% | Salininkai to Seskine          | Normal traffic                      |     9.30 |   TRAFFIC |     1079      730      733      741
     90% | Old Town loop                  | all bridges old town destroyed_optimistic |     1.53 |       TIE |      333      328      328      328
     90% | Gediminas Ave                  | all bridges old town destroyed_optimistic |     1.08 |   TRAFFIC |      237      234      249      237
     90% | Station to centre              | all bridges old town destroyed_optimistic |     1.69 |   TRAFFIC |      453      421      457      421
     90% | Uzupis internal                | all bridges old town destroyed_optimistic |     2.14 |       TIE |      368      368      368      368
     90% | Zirmunai to Naujamiestis       | all bridges old town destroyed_optimistic |     7.05 |   TRAFFIC |     1095      870     1080     1335
     90% | Antakalnis to centre           | all bridges old town destroyed_optimistic |     6.43 |   TRAFFIC |     1045     1034     1064     1350
     90% | Seskine to Old Town            | all bridges old town destroyed_optimistic |     6.73 |   TRAFFIC |      892      876      879     1010
     90% | Karoliniskes to Uzupis         | all bridges old town destroyed_optimistic |     7.84 |   TRAFFIC |     1161      973     1101     1165
     90% | Justiniskes to centre          | all bridges old town destroyed_optimistic |     7.18 |       TIE |      887      873      873      898
     90% | Fabijoniskes to river          | all bridges old town destroyed_optimistic |     6.13 |   TRAFFIC |      669      669      719     1039
     90% | West to East                   | all bridges old town destroyed_optimistic |    13.05 |   TRAFFIC |     1523     1333     1488     1707
     90% | North to South                 | all bridges old town destroyed_optimistic |    11.93 |   TRAFFIC |     1375     1254     1272     1500
     90% | Pilaite to Pasilaiciai         | all bridges old town destroyed_optimistic |     9.88 |       GNN |      929      937      929     1108
     90% | Lazdynai to Antakalnis         | all bridges old town destroyed_optimistic |    10.30 |   TRAFFIC |     1116      926      932     1031
     90% | Pilaite to Fabijoniskes        | all bridges old town destroyed_optimistic |    10.76 |   TRAFFIC |     1030     1030     1085     1209
     90% | Lazdynai to Jeruzale           | all bridges old town destroyed_optimistic |     9.79 |       TIE |     1078      920      920     1035
     90% | South to Northeast             | all bridges old town destroyed_optimistic |    11.29 |   TRAFFIC |     1657     1286     1364     1287
     90% | Ring road W to E               | all bridges old town destroyed_optimistic |    16.39 |   TRAFFIC |     1109     1099     1106     1115
     90% | Grigiskes to Verkiai           | all bridges old town destroyed_optimistic |    26.28 |       TIE |     2530     2273     2273     2402
     90% | Salininkai to Seskine          | all bridges old town destroyed_optimistic |    10.27 |       TIE |     1221      991      991     1118
     90% | Old Town loop                  | Car crashes in Lazdynai             |     1.53 |       TIE |      333      328      328      328
     90% | Gediminas Ave                  | Car crashes in Lazdynai             |     1.08 |       TIE |      237      234      234      234
     90% | Station to centre              | Car crashes in Lazdynai             |     1.69 |   TRAFFIC |      453      421      457      421
     90% | Uzupis internal                | Car crashes in Lazdynai             |     2.14 |       TIE |      368      368      368      368
     90% | Zirmunai to Naujamiestis       | Car crashes in Lazdynai             |     5.68 |   TRAFFIC |     1053      716      911     1091
     90% | Antakalnis to centre           | Car crashes in Lazdynai             |     3.93 |   TRAFFIC |      673      596      598      756
     90% | Seskine to Old Town            | Car crashes in Lazdynai             |     6.05 |       GNN |      759      733      731      779
     90% | Karoliniskes to Uzupis         | Car crashes in Lazdynai             |     7.56 |   TRAFFIC |     1114      973     1068     1161
     90% | Justiniskes to centre          | Car crashes in Lazdynai             |     6.61 |       TIE |      785      745      746      808
     90% | Fabijoniskes to river          | Car crashes in Lazdynai             |     6.13 |   TRAFFIC |      669      669      719      911
     90% | West to East                   | Car crashes in Lazdynai             |    13.05 |   TRAFFIC |     1523     1333     1488     1707
     90% | North to South                 | Car crashes in Lazdynai             |    11.58 |       TIE |     1221      880      880     1107
     90% | Pilaite to Pasilaiciai         | Car crashes in Lazdynai             |     9.88 |       TIE |      929      929      929     1108
     90% | Lazdynai to Antakalnis         | Car crashes in Lazdynai             |    10.11 |       TIE |     1404      926      927     1220
     90% | Pilaite to Fabijoniskes        | Car crashes in Lazdynai             |    10.76 |   TRAFFIC |     1030     1059     1085     1217
     90% | Lazdynai to Jeruzale           | Car crashes in Lazdynai             |     9.79 |       TIE |     1078      838      838     1035
     90% | South to Northeast             | Car crashes in Lazdynai             |    11.13 |       TIE |     1716     1072     1072     1287
     90% | Ring road W to E               | Car crashes in Lazdynai             |    16.35 |   TRAFFIC |     1920     1099     1107     1876
     90% | Grigiskes to Verkiai           | Car crashes in Lazdynai             |    24.31 |       TIE |     1923     1736     1736     1815
     90% | Salininkai to Seskine          | Car crashes in Lazdynai             |     9.30 |       TIE |     1079      730      730      741
     90% | Old Town loop                  | Protest at seimas Closure on Gedimino pr. |     1.53 |       TIE |      333      328      328      328
     90% | Station to centre              | Protest at seimas Closure on Gedimino pr. |     1.69 |   TRAFFIC |      453      421      457      421
     90% | Uzupis internal                | Protest at seimas Closure on Gedimino pr. |     2.14 |       TIE |      368      368      368      368
     90% | Zirmunai to Naujamiestis       | Protest at seimas Closure on Gedimino pr. |     5.68 |   TRAFFIC |     1053      716      911     1122
     90% | Antakalnis to centre           | Protest at seimas Closure on Gedimino pr. |     3.93 |   TRAFFIC |      673      596      598      756
     90% | Seskine to Old Town            | Protest at seimas Closure on Gedimino pr. |     6.65 |   TRAFFIC |      952      895      903      939
     90% | Karoliniskes to Uzupis         | Protest at seimas Closure on Gedimino pr. |     8.49 |   TRAFFIC |     1361      973     1003     1484
     90% | Justiniskes to centre          | Protest at seimas Closure on Gedimino pr. |     6.61 |   TRAFFIC |      785      730      736      808
     90% | Fabijoniskes to river          | Protest at seimas Closure on Gedimino pr. |     6.13 |   TRAFFIC |      669      669      719      911
     90% | West to East                   | Protest at seimas Closure on Gedimino pr. |    13.05 |   TRAFFIC |     1523     1333     1488     1707
     90% | North to South                 | Protest at seimas Closure on Gedimino pr. |    11.58 |       TIE |     1221      880      880     1107
     90% | Pilaite to Pasilaiciai         | Protest at seimas Closure on Gedimino pr. |     9.88 |       TIE |      929      929      929     1108
     90% | Lazdynai to Antakalnis         | Protest at seimas Closure on Gedimino pr. |    10.30 |       TIE |     1116      926      927     1031
     90% | Pilaite to Fabijoniskes        | Protest at seimas Closure on Gedimino pr. |    10.76 |   TRAFFIC |     1030     1042     1085     1209
     90% | Lazdynai to Jeruzale           | Protest at seimas Closure on Gedimino pr. |     9.79 |       GNN |     1078      844      838     1035
     90% | South to Northeast             | Protest at seimas Closure on Gedimino pr. |    11.29 |       TIE |     1657     1072     1072     1287
     90% | Ring road W to E               | Protest at seimas Closure on Gedimino pr. |    16.39 |       TIE |     1109     1109     1109     1115
     90% | Grigiskes to Verkiai           | Protest at seimas Closure on Gedimino pr. |    24.31 |   TRAFFIC |     1923     1698     1736     1855
     90% | Salininkai to Seskine          | Protest at seimas Closure on Gedimino pr. |     9.30 |       TIE |     1079      730      730      741
     90% | Old Town loop                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.53 |       TIE |      333      328      328      328
     90% | Gediminas Ave                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.08 |   TRAFFIC |      237      234      249      234
     90% | Station to centre              | Shopping spree at Ozas while Ukmerges g. has construction |     1.69 |   TRAFFIC |      453      421      457      421
     90% | Uzupis internal                | Shopping spree at Ozas while Ukmerges g. has construction |     2.14 |       TIE |      368      368      368      368
     90% | Zirmunai to Naujamiestis       | Shopping spree at Ozas while Ukmerges g. has construction |     5.68 |   TRAFFIC |     1053      716      911     1122
     90% | Antakalnis to centre           | Shopping spree at Ozas while Ukmerges g. has construction |     3.93 |   TRAFFIC |      673      596      598      756
     90% | Seskine to Old Town            | Shopping spree at Ozas while Ukmerges g. has construction |     6.05 |   TRAFFIC |      759      723      731      779
     90% | Karoliniskes to Uzupis         | Shopping spree at Ozas while Ukmerges g. has construction |     7.56 |   TRAFFIC |     1114      973     1068     1161
     90% | Justiniskes to centre          | Shopping spree at Ozas while Ukmerges g. has construction |     6.61 |   TRAFFIC |      785      730      736      808
     90% | Fabijoniskes to river          | Shopping spree at Ozas while Ukmerges g. has construction |     6.13 |   TRAFFIC |      669      690      719      992
     90% | West to East                   | Shopping spree at Ozas while Ukmerges g. has construction |    13.05 |   TRAFFIC |     1523     1334     1568     1707
     90% | North to South                 | Shopping spree at Ozas while Ukmerges g. has construction |    11.58 |       TIE |     1221      880      880     1107
     90% | Pilaite to Pasilaiciai         | Shopping spree at Ozas while Ukmerges g. has construction |     9.88 |       TIE |      929      929      929     1108
