data_level,route,scenario,is_crisis,route_distance_km,avg_route_duration_minutes,time_shortest_s,time_traffic_s,time_gnn_s,time_classifier_s,compute_time_shortest_s,compute_time_traffic_s,compute_time_gnn_s,compute_time_classifier_s,winner,seed
80,Justiniskes to centre,Vingis park concert congestions + road closure,True,6.61,12.62,785,730,736,808,0.035,0.11,0.548,0.286,TRAFFIC,80015234
80,Fabijoniskes to river,Vingis park concert congestions + road closure,True,6.13,11.33,669,691,691,911,0.038,0.104,0.577,0.306,TIE,80031334
80,West to East,Vingis park concert congestions + road closure,True,13.05,23.8,1523,1333,1488,1707,0.052,0.113,0.475,0.296,TRAFFIC,80059334
80,North to South,Vingis park concert congestions + road closure,True,11.58,17.51,1221,880,890,1107,0.035,0.08,0.469,0.169,TRAFFIC,80034334
80,Pilaite to Pasilaiciai,Vingis park concert congestions + road closure,True,9.88,15.72,929,958,929,1108,0.026,0.078,0.535,0.285,GNN,79999334
80,Lazdynai to Antakalnis,Vingis park concert congestions + road closure,True,10.11,19.42,1404,926,929,1220,0.028,0.121,0.516,0.305,TRAFFIC,80014534
80,Pilaite to Fabijoniskes,Vingis park concert congestions + road closure,True,10.76,17.23,1030,1038,1085,1209,0.028,0.093,0.538,0.274,TRAFFIC,80004334
80,Lazdynai to Jeruzale,Vingis park concert congestions + road closure,True,9.79,16.02,1078,844,838,1035,0.027,0.076,0.519,0.284,GNN,79944334
80,South to Northeast,Vingis park concert congestions + road closure,True,11.13,23.23,1716,1072,1072,1287,0.03,0.096,0.648,0.307,TIE,79972334
80,Ring road W to E,Vingis park concert congestions + road closure,True,16.35,25.16,1920,1099,1106,1876,0.036,0.117,0.541,0.318,TRAFFIC,80064334
80,Grigiskes to Verkiai,Vingis park concert congestions + road closure,True,24.31,30.23,1923,1704,1699,1855,0.034,0.08,0.49,0.33,GNN,79976734
80,Salininkai to Seskine,Vingis park concert congestions + road closure,True,9.3,15.07,1079,730,730,741,0.027,0.077,0.444,0.333,TIE,79919334
70,Old Town loop,Normal traffic,False,1.53,5.51,333,328,328,328,0.023,0.212,0.573,0.115,TIE,79984119
70,Gediminas Ave,Normal traffic,False,1.08,4.05,237,249,249,234,0.041,0.075,0.548,0.09,TIE,79972119
70,Station to centre,Normal traffic,False,1.69,7.55,453,453,457,421,0.023,0.08,0.596,0.125,TRAFFIC,79967319
70,Uzupis internal,Normal traffic,False,2.14,6.13,368,368,368,368,0.025,0.073,0.486,0.082,TIE,79995319
70,Zirmunai to Naujamiestis,Normal traffic,False,5.68,14.74,1053,716,966,1091,0.026,0.084,0.463,0.288,TRAFFIC,79990219
70,Antakalnis to centre,Normal traffic,False,3.93,10.57,673,596,617,756,0.025,0.11,0.476,0.244,TRAFFIC,79999619
70,Seskine to Old Town,Normal traffic,False,6.05,12.69,759,764,731,779,0.028,0.192,0.589,0.415,GNN,80010119
70,Karoliniskes to Uzupis,Normal traffic,False,7.56,17.68,1114,1007,1068,1161,0.028,0.11,0.58,0.332,TRAFFIC,79996919
70,Justiniskes to centre,Normal traffic,False,6.61,13.22,785,802,746,808,0.043,0.179,0.621,0.462,GNN,80012219
70,Fabijoniskes to river,Normal traffic,False,6.13,11.32,669,690,690,1039,0.038,0.086,0.392,0.18,TIE,80028319
70,West to East,Normal traffic,False,13.05,24.83,1523,1457,1569,1707,0.029,0.083,0.557,0.313,TRAFFIC,80056319
70,North to South,Normal traffic,False,11.58,17.51,1221,880,960,1107,0.053,0.102,0.605,0.312,TRAFFIC,80031319
70,Pilaite to Pasilaiciai,Normal traffic,False,9.88,15.72,929,958,929,1108,0.041,0.078,0.423,0.213,GNN,79996319
70,Lazdynai to Antakalnis,Normal traffic,False,10.11,19.43,1404,927,1015,1220,0.029,0.078,0.565,0.306,TRAFFIC,80011519
70,Pilaite to Fabijoniskes,Normal traffic,False,10.76,17.41,1030,1059,1085,1209,0.028,0.117,0.468,0.286,TRAFFIC,80001319
70,Lazdynai to Jeruzale,Normal traffic,False,9.79,15.97,1078,838,844,1035,0.027,0.222,0.483,0.345,TRAFFIC,79941319
70,South to Northeast,Normal traffic,False,11.13,23.23,1716,1072,1078,1287,0.029,0.093,0.559,0.289,TRAFFIC,79969319
70,Ring road W to E,Normal traffic,False,16.35,25.16,1920,1099,1116,1876,0.032,0.081,0.453,0.307,TRAFFIC,80061319
70,Grigiskes to Verkiai,Normal traffic,False,24.31,30.18,1923,1699,1699,1855,0.034,0.08,0.549,0.332,TIE,79973719
70,Salininkai to Seskine,Normal traffic,False,9.3,15.07,1079,730,730,741,0.034,0.103,0.495,0.279,TIE,79916319
70,Old Town loop,all bridges old town destroyed_optimistic,True,1.53,5.51,333,328,355,328,0.023,0.119,0.504,0.085,TRAFFIC,79982287
70,Gediminas Ave,all bridges old town destroyed_optimistic,True,1.08,3.95,237,237,237,234,0.023,0.074,0.588,0.112,TIE,79970287
70,Station to centre,all bridges old town destroyed_optimistic,True,1.69,7.31,453,424,457,421,0.028,0.083,0.499,0.145,TRAFFIC,79965487
70,Uzupis internal,all bridges old town destroyed_optimistic,True,2.14,6.13,368,368,368,368,0.023,0.072,0.505,0.083,TIE,79993487
70,Zirmunai to Naujamiestis,all bridges old town destroyed_optimistic,True,7.05,16.38,1095,870,1068,1335,0.039,0.076,0.56,0.299,TRAFFIC,79988387
70,Antakalnis to centre,all bridges old town destroyed_optimistic,True,6.43,17.32,1045,1034,1083,1350,0.026,0.079,0.515,0.24,TRAFFIC,79997787
70,Seskine to Old Town,all bridges old town destroyed_optimistic,True,6.73,14.75,892,878,878,1010,0.025,0.073,0.538,0.288,TIE,80008287
70,Karoliniskes to Uzupis,all bridges old town destroyed_optimistic,True,7.84,18.04,1161,1004,1145,1165,0.027,0.076,0.539,0.331,TRAFFIC,79995087
70,Justiniskes to centre,all bridges old town destroyed_optimistic,True,7.18,14.75,887,883,883,898,0.026,0.091,0.53,0.312,TIE,80010387
70,Fabijoniskes to river,all bridges old town destroyed_optimistic,True,6.13,11.15,669,669,719,992,0.025,0.072,0.433,0.283,TRAFFIC,80026487
70,West to East,all bridges old town destroyed_optimistic,True,13.05,23.8,1523,1333,1568,1707,0.032,0.086,0.537,0.283,TRAFFIC,80054487
70,North to South,all bridges old town destroyed_optimistic,True,11.93,22.27,1375,1298,1272,1500,0.051,0.081,0.546,0.185,GNN,80029487
70,Pilaite to Pasilaiciai,all bridges old town destroyed_optimistic,True,9.88,15.48,929,929,929,1108,0.033,0.077,0.496,0.295,TIE,79994487
70,Lazdynai to Antakalnis,all bridges old town destroyed_optimistic,True,10.3,17.11,1116,937,1026,1031,0.03,0.077,0.427,0.29,TRAFFIC,80009687
70,Pilaite to Fabijoniskes,all bridges old town destroyed_optimistic,True,10.76,17.22,1030,1036,1085,1209,0.036,0.126,0.53,0.178,TRAFFIC,79999487
70,Lazdynai to Jeruzale,all bridges old town destroyed_optimistic,True,9.79,16.65,1078,920,990,1035,0.047,0.08,0.472,0.287,TRAFFIC,79939487
70,South to Northeast,all bridges old town destroyed_optimistic,True,11.29,24.52,1657,1286,1369,1287,0.033,0.112,0.465,0.294,TRAFFIC,79967487
70,Ring road W to E,all bridges old town destroyed_optimistic,True,16.39,18.53,1109,1115,1115,1115,0.036,0.085,0.563,0.344,TIE,80059487
70,Grigiskes to Verkiai,all bridges old town destroyed_optimistic,True,26.28,40.94,2530,2383,2312,2402,0.032,0.088,0.519,0.323,GNN,79971887
70,Salininkai to Seskine,all bridges old town destroyed_optimistic,True,10.27,18.4,1221,987,991,1118,0.035,0.091,0.495,0.343,TRAFFIC,79914487
70,Old Town loop,Car crashes in Lazdynai,True,1.53,5.51,333,328,328,328,0.041,0.074,0.481,0.07,TIE,79987160
70,Gediminas Ave,Car crashes in Lazdynai,True,1.08,4.05,237,249,249,234,0.023,0.069,0.64,0.088,TIE,79975160
70,Station to centre,Car crashes in Lazdynai,True,1.69,7.28,453,421,457,421,0.042,0.081,0.525,0.13,TRAFFIC,79970360
70,Uzupis internal,Car crashes in Lazdynai,True,2.14,6.13,368,368,368,368,0.024,0.07,0.528,0.091,TIE,79998360
70,Zirmunai to Naujamiestis,Car crashes in Lazdynai,True,5.68,14.74,1053,716,954,1091,0.032,0.22,0.632,0.42,TRAFFIC,79993260
70,Antakalnis to centre,Car crashes in Lazdynai,True,3.93,10.57,673,596,663,756,0.026,0.075,0.438,0.264,TRAFFIC,80002660
70,Seskine to Old Town,Car crashes in Lazdynai,True,6.05,12.43,759,733,739,779,0.025,0.069,0.524,0.311,TRAFFIC,80013160
70,Karoliniskes to Uzupis,Car crashes in Lazdynai,True,7.56,17.39,1114,973,1100,1161,0.027,0.097,0.656,0.334,TRAFFIC,79999960
70,Justiniskes to centre,Car crashes in Lazdynai,True,6.61,12.62,785,730,736,808,0.047,0.123,0.691,0.284,TRAFFIC,80015260
70,Fabijoniskes to river,Car crashes in Lazdynai,True,6.13,11.32,669,690,669,1039,0.025,0.085,0.607,0.348,GNN,80031360
70,West to East,Car crashes in Lazdynai,True,13.05,24.83,1523,1457,1569,1707,0.033,0.075,0.549,0.188,TRAFFIC,80059360
70,North to South,Car crashes in Lazdynai,True,11.58,17.51,1221,880,960,1107,0.031,0.093,0.598,0.191,TRAFFIC,80034360
70,Pilaite to Pasilaiciai,Car crashes in Lazdynai,True,9.88,15.48,929,929,929,1108,0.037,0.083,0.56,0.315,TIE,79999360
70,Lazdynai to Antakalnis,Car crashes in Lazdynai,True,10.11,19.42,1404,926,942,1220,0.028,0.075,0.573,0.293,TRAFFIC,80014560
70,Pilaite to Fabijoniskes,Car crashes in Lazdynai,True,10.76,17.22,1030,1036,1085,1217,0.029,0.125,0.639,0.314,TRAFFIC,80004360
70,Lazdynai to Jeruzale,Car crashes in Lazdynai,True,9.79,15.97,1078,838,844,1035,0.029,0.081,0.678,0.281,TRAFFIC,79944360
70,South to Northeast,Car crashes in Lazdynai,True,11.13,23.23,1716,1072,1076,1287,0.029,0.127,0.549,0.29,TRAFFIC,79972360
70,Ring road W to E,Car crashes in Lazdynai,True,16.35,25.21,1920,1105,1106,1876,0.042,0.109,0.57,0.353,TIE,80064360
70,Grigiskes to Verkiai,Car crashes in Lazdynai,True,24.31,30.2,1923,1701,1701,1855,0.033,0.123,0.697,0.313,TIE,79976760
70,Salininkai to Seskine,Car crashes in Lazdynai,True,9.3,15.07,1079,730,730,741,0.029,0.078,0.515,0.289,TIE,79919360
70,Old Town loop,Protest at seimas Closure on Gedimino pr.,True,1.53,5.51,333,328,355,328,0.024,0.079,0.585,0.093,TRAFFIC,79986718
70,Station to centre,Protest at seimas Closure on Gedimino pr.,True,1.69,7.28,453,421,424,421,0.026,0.081,0.642,0.123,TRAFFIC,79969918
70,Uzupis internal,Protest at seimas Closure on Gedimino pr.,True,2.14,6.13,368,368,368,368,0.127,0.086,0.458,0.117,TIE,79997918
70,Zirmunai to Naujamiestis,Protest at seimas Closure on Gedimino pr.,True,5.68,14.74,1053,716,954,1091,0.025,0.097,0.611,0.288,TRAFFIC,79992818
70,Antakalnis to centre,Protest at seimas Closure on Gedimino pr.,True,3.93,11.04,673,652,695,756,0.031,0.096,0.491,0.232,TRAFFIC,80002218
70,Seskine to Old Town,Protest at seimas Closure on Gedimino pr.,True,6.65,15.39,952,895,913,939,0.042,0.116,0.52,0.298,TRAFFIC,80012718
70,Karoliniskes to Uzupis,Protest at seimas Closure on Gedimino pr.,True,8.49,19.45,1361,973,1003,1484,0.027,0.079,0.47,0.279,TRAFFIC,79999518
70,Justiniskes to centre,Protest at seimas Closure on Gedimino pr.,True,6.61,12.68,785,736,736,808,0.033,0.104,0.55,0.312,TIE,80014818
70,Fabijoniskes to river,Protest at seimas Closure on Gedimino pr.,True,6.13,11.5,669,711,690,992,0.025,0.077,0.447,0.202,GNN,80030918
70,West to East,Protest at seimas Closure on Gedimino pr.,True,13.05,25.01,1523,1478,1488,1707,0.034,0.132,0.535,0.337,TRAFFIC,80058918
70,North to South,Protest at seimas Closure on Gedimino pr.,True,11.58,17.51,1221,880,882,1107,0.044,0.075,0.462,0.327,TRAFFIC,80033918
70,Pilaite to Pasilaiciai,Protest at seimas Closure on Gedimino pr.,True,9.88,15.72,929,958,929,929,0.037,0.098,0.5,0.185,GNN,79998918
70,Lazdynai to Antakalnis,Protest at seimas Closure on Gedimino pr.,True,10.3,17.12,1116,938,938,1031,0.038,0.079,0.437,0.286,TIE,80014118
70,Pilaite to Fabijoniskes,Protest at seimas Closure on Gedimino pr.,True,10.76,17.9,1030,1118,1085,1209,0.029,0.077,0.493,0.222,GNN,80003918
70,Lazdynai to Jeruzale,Protest at seimas Closure on Gedimino pr.,True,9.79,16.17,1078,862,862,1035,0.027,0.072,0.469,0.303,TIE,79943918
70,South to Northeast,Protest at seimas Closure on Gedimino pr.,True,11.29,22.74,1657,1072,1072,1287,0.028,0.073,0.56,0.175,TIE,79971918
70,Ring road W to E,Protest at seimas Closure on Gedimino pr.,True,16.39,18.45,1109,1105,1118,1115,0.034,0.101,0.532,0.304,TRAFFIC,80063918
70,Grigiskes to Verkiai,Protest at seimas Closure on Gedimino pr.,True,24.31,30.2,1923,1701,1736,1815,0.034,0.101,0.578,0.33,TRAFFIC,79976318
70,Salininkai to Seskine,Protest at seimas Closure on Gedimino pr.,True,9.3,15.07,1079,730,730,737,0.047,0.107,0.489,0.281,TIE,79918918
70,Old Town loop,Shopping spree at Ozas while Ukmerges g. has construction,True,1.53,5.51,333,328,328,328,0.042,0.091,0.48,0.107,TIE,79983689
70,Gediminas Ave,Shopping spree at Ozas while Ukmerges g. has construction,True,1.08,4.05,237,249,249,237,0.024,0.095,0.566,0.084,TIE,79971689
70,Station to centre,Shopping spree at Ozas while Ukmerges g. has construction,True,1.69,7.31,453,424,424,421,0.029,0.09,0.726,0.144,TIE,79966889
70,Uzupis internal,Shopping spree at Ozas while Ukmerges g. has construction,True,2.14,6.13,368,368,431,368,0.023,0.239,0.568,0.108,TRAFFIC,79994889
70,Zirmunai to Naujamiestis,Shopping spree at Ozas while Ukmerges g. has construction,True,5.68,14.74,1053,716,951,1091,0.03,0.076,0.594,0.313,TRAFFIC,79989789
70,Antakalnis to centre,Shopping spree at Ozas while Ukmerges g. has construction,True,3.93,10.57,673,596,695,756,0.033,0.075,0.52,0.236,TRAFFIC,79999189
70,Seskine to Old Town,Shopping spree at Ozas while Ukmerges g. has construction,True,6.05,12.37,759,725,742,779,0.027,0.087,0.619,0.191,TRAFFIC,80009689
70,Karoliniskes to Uzupis,Shopping spree at Ozas while Ukmerges g. has construction,True,7.56,17.72,1114,1012,1100,1161,0.027,0.076,0.671,0.155,TRAFFIC,79996489
70,Justiniskes to centre,Shopping spree at Ozas while Ukmerges g. has construction,True,6.61,12.68,785,736,736,808,0.046,0.097,0.466,0.279,TIE,80011789
70,Fabijoniskes to river,Shopping spree at Ozas while Ukmerges g. has construction,True,6.13,11.15,669,669,669,1039,0.026,0.073,0.473,0.283,TIE,80027889
70,West to East,Shopping spree at Ozas while Ukmerges g. has construction,True,13.05,23.8,1523,1333,1592,1707,0.03,0.109,0.568,0.321,TRAFFIC,80055889
70,North to South,Shopping spree at Ozas while Ukmerges g. has construction,True,11.58,17.51,1221,880,880,1107,0.033,0.104,0.503,0.307,TIE,80030889
70,Pilaite to Pasilaiciai,Shopping spree at Ozas while Ukmerges g. has construction,True,9.88,15.48,929,929,929,1108,0.029,0.088,0.622,0.341,TIE,79995889
70,Lazdynai to Antakalnis,Shopping spree at Ozas while Ukmerges g. has construction,True,10.11,19.52,1404,938,940,1220,0.03,0.079,0.48,0.303,TRAFFIC,80011089
70,Pilaite to Fabijoniskes,Shopping spree at Ozas while Ukmerges g. has construction,True,10.76,17.29,1030,1045,1074,1209,0.03,0.082,0.492,0.293,TRAFFIC,80000889
70,Lazdynai to Jeruzale,Shopping spree at Ozas while Ukmerges g. has construction,True,9.79,15.97,1078,838,838,1035,0.03,0.079,0.468,0.286,TIE,79940889
70,South to Northeast,Shopping spree at Ozas while Ukmerges g. has construction,True,11.13,23.23,1716,1072,1078,1287,0.031,0.08,0.459,0.303,TRAFFIC,79968889
70,Ring road W to E,Shopping spree at Ozas while Ukmerges g. has construction,True,16.35,25.16,1920,1099,1126,1876,0.037,0.085,0.453,0.317,TRAFFIC,80060889
70,Grigiskes to Verkiai,Shopping spree at Ozas while Ukmerges g. has construction,True,24.31,30.23,1923,1704,1699,1815,0.036,0.089,0.454,0.314,GNN,79973289
70,Salininkai to Seskine,Shopping spree at Ozas while Ukmerges g. has construction,True,9.3,15.07,1079,730,730,741,0.029,0.078,0.45,0.177,TIE,79915889
70,Old Town loop,Vingis park concert congestions + road closure,True,1.53,5.51,333,328,328,328,0.025,0.086,0.448,0.095,TIE,79986134
70,Gediminas Ave,Vingis park concert congestions + road closure,True,1.08,3.95,237,237,237,234,0.025,0.077,0.473,0.07,TIE,79974134
70,Station to centre,Vingis park concert congestions + road closure,True,1.69,7.55,453,453,457,421,0.025,0.077,0.477,0.103,TRAFFIC,79969334
70,Uzupis internal,Vingis park concert congestions + road closure,True,2.14,6.13,368,368,368,368,0.025,0.078,0.525,0.089,TIE,79997334
70,Zirmunai to Naujamiestis,Vingis park concert congestions + road closure,True,5.68,14.74,1053,716,1009,1091,0.027,0.188,0.571,0.391,TRAFFIC,79992234
70,Antakalnis to centre,Vingis park concert congestions + road closure,True,3.93,10.57,673,596,695,668,0.026,0.094,0.484,0.232,TRAFFIC,80001634
70,Seskine to Old Town,Vingis park concert congestions + road closure,True,6.05,12.45,759,735,742,774,0.027,0.076,0.501,0.29,TRAFFIC,80012134
70,Karoliniskes to Uzupis,Vingis park concert congestions + road closure,True,7.56,17.68,1114,1007,1068,1161,0.028,0.089,0.555,0.292,TRAFFIC,79998934
70,Justiniskes to centre,Vingis park concert congestions + road closure,True,6.61,12.97,785,771,736,808,0.028,0.077,0.626,0.328,GNN,80014234
70,Fabijoniskes to river,Vingis park concert congestions + road closure,True,6.13,11.51,669,712,691,992,0.028,0.092,0.531,0.191,GNN,80030334
70,West to East,Vingis park concert congestions + road closure,True,13.05,23.81,1523,1334,1456,1707,0.032,0.089,0.478,0.316,TRAFFIC,80058334
70,North to South,Vingis park concert congestions + road closure,True,11.58,17.51,1221,880,880,1107,0.034,0.086,0.49,0.305,TIE,80033334
70,Pilaite to Pasilaiciai,Vingis park concert congestions + road closure,True,9.88,15.72,929,958,929,929,0.03,0.092,0.584,0.197,GNN,79998334
70,Lazdynai to Antakalnis,Vingis park concert congestions + road closure,True,10.11,19.42,1404,926,1069,1220,0.031,0.079,0.553,0.301,TRAFFIC,80013534
70,Pilaite to Fabijoniskes,Vingis park concert congestions + road closure,True,10.76,17.23,1030,1038,1085,1209,0.036,0.092,0.486,0.294,TRAFFIC,80003334
70,Lazdynai to Jeruzale,Vingis park concert congestions + road closure,True,9.79,15.97,1078,838,838,1035,0.03,0.078,0.496,0.288,TIE,79943334
70,South to Northeast,Vingis park concert congestions + road closure,True,11.13,23.27,1716,1076,1082,1287,0.035,0.085,0.478,0.303,TRAFFIC,79971334
70,Ring road W to E,Vingis park concert congestions + road closure,True,16.35,25.21,1920,1105,1115,1876,0.036,0.083,0.469,0.205,TRAFFIC,80063334
70,Grigiskes to Verkiai,Vingis park concert congestions + road closure,True,24.31,30.18,1923,1699,1699,1855,0.038,0.082,0.462,0.329,TIE,79975734
70,Salininkai to Seskine,Vingis park concert congestions + road closure,True,9.3,15.07,1079,730,730,741,0.031,0.08,0.481,0.297,TIE,79918334
60,Old Town loop,Normal traffic,False,1.53,5.51,333,328,328,328,0.026,0.173,0.477,0.101,TIE,79983119
60,Gediminas Ave,Normal traffic,False,1.08,4.05,237,249,249,234,0.025,0.073,0.444,0.089,TIE,79971119
60,Station to centre,Normal traffic,False,1.69,7.28,453,421,457,421,0.029,0.076,0.459,0.126,TRAFFIC,79966319
60,Uzupis internal,Normal traffic,False,2.14,6.13,368,368,368,368,0.025,0.075,0.452,0.085,TIE,79994319
60,Zirmunai to Naujamiestis,Normal traffic,False,5.68,15.81,1053,844,946,1091,0.027,0.08,0.473,0.299,TRAFFIC,79989219
60,Antakalnis to centre,Normal traffic,False,3.93,11.38,673,693,695,756,0.026,0.074,0.458,0.182,TRAFFIC,79998619
60,Seskine to Old Town,Normal traffic,False,6.05,12.43,759,733,731,779,0.028,0.182,0.467,0.428,GNN,80009119
60,Karoliniskes to Uzupis,Normal traffic,False,7.56,18.04,1114,1051,1100,1161,0.033,0.083,0.452,0.292,TRAFFIC,79995919
60,Justiniskes to centre,Normal traffic,False,6.61,12.62,785,730,736,808,0.03,0.188,0.485,0.433,TRAFFIC,80011219
60,Fabijoniskes to river,Normal traffic,False,6.13,11.5,669,711,669,1039,0.035,0.086,0.435,0.296,GNN,80027319
60,West to East,Normal traffic,False,13.05,23.81,1523,1334,1611,1707,0.033,0.085,0.494,0.3,TRAFFIC,80055319
60,North to South,Normal traffic,False,11.58,17.51,1221,880,890,1107,0.033,0.083,0.474,0.302,TRAFFIC,80030319
60,Pilaite to Pasilaiciai,Normal traffic,False,9.88,15.48,929,929,929,1108,0.033,0.082,0.479,0.203,TIE,79995319
60,Lazdynai to Antakalnis,Normal traffic,False,10.11,19.57,1404,944,1084,1220,0.03,0.081,0.466,0.314,TRAFFIC,80010519
60,Pilaite to Fabijoniskes,Normal traffic,False,10.76,17.46,1030,1065,1085,1217,0.03,0.086,0.452,0.222,TRAFFIC,80000319
60,Lazdynai to Jeruzale,Normal traffic,False,9.79,15.97,1078,838,842,1035,0.038,0.171,0.484,0.388,TRAFFIC,79940319
60,South to Northeast,Normal traffic,False,11.13,23.23,1716,1072,1079,1287,0.031,0.082,0.578,0.299,TRAFFIC,79968319
60,Ring road W to E,Normal traffic,False,16.35,25.21,1920,1105,1116,1876,0.039,0.084,0.48,0.322,TRAFFIC,80060319
60,Grigiskes to Verkiai,Normal traffic,False,24.31,30.18,1923,1699,1743,1855,0.039,0.086,0.528,0.334,TRAFFIC,79972719
60,Salininkai to Seskine,Normal traffic,False,9.3,15.17,1079,741,734,741,0.029,0.081,0.453,0.187,GNN,79915319
60,Old Town loop,all bridges old town destroyed_optimistic,True,1.53,5.51,333,328,328,328,0.028,0.081,0.444,0.092,TIE,79981287
60,Gediminas Ave,all bridges old town destroyed_optimistic,True,1.08,3.95,237,237,249,234,0.028,0.079,0.539,0.119,TRAFFIC,79969287
60,Station to centre,all bridges old town destroyed_optimistic,True,1.69,7.28,453,421,421,421,0.025,0.085,0.514,0.149,TIE,79964487
60,Uzupis internal,all bridges old town destroyed_optimistic,True,2.14,6.13,368,368,368,368,0.026,0.077,0.561,0.085,TIE,79992487
60,Zirmunai to Naujamiestis,all bridges old town destroyed_optimistic,True,7.05,16.38,1095,870,1075,1335,0.041,0.08,0.396,0.301,TRAFFIC,79987387
60,Antakalnis to centre,all bridges old town destroyed_optimistic,True,6.43,17.34,1045,1036,1036,1262,0.028,0.079,0.471,0.227,TIE,79996787
60,Seskine to Old Town,all bridges old town destroyed_optimistic,True,6.73,14.74,892,877,879,1010,0.028,0.082,0.443,0.196,TRAFFIC,80007287
60,Karoliniskes to Uzupis,all bridges old town destroyed_optimistic,True,7.84,18.9,1161,1107,1133,1165,0.028,0.082,0.485,0.208,TRAFFIC,79994087
60,Justiniskes to centre,all bridges old town destroyed_optimistic,True,7.18,14.8,887,889,873,898,0.029,0.086,0.448,0.29,GNN,80009387
60,Fabijoniskes to river,all bridges old town destroyed_optimistic,True,6.13,11.88,669,757,719,1039,0.028,0.078,0.481,0.294,GNN,80025487
60,West to East,all bridges old town destroyed_optimistic,True,13.05,24.52,1523,1419,1575,1707,0.032,0.089,0.485,0.303,TRAFFIC,80053487
60,North to South,all bridges old town destroyed_optimistic,True,11.93,21.91,1375,1254,1316,1500,0.038,0.095,0.482,0.303,TRAFFIC,80028487
60,Pilaite to Pasilaiciai,all bridges old town destroyed_optimistic,True,9.88,15.48,929,929,929,1108,0.029,0.083,0.494,0.273,TIE,79993487
60,Lazdynai to Antakalnis,all bridges old town destroyed_optimistic,True,10.3,17.02,1116,927,1010,1031,0.03,0.08,0.476,0.301,TRAFFIC,80008687
60,Pilaite to Fabijoniskes,all bridges old town destroyed_optimistic,True,10.76,17.22,1030,1036,1085,1217,0.031,0.09,0.48,0.262,TRAFFIC,79998487
60,Lazdynai to Jeruzale,all bridges old town destroyed_optimistic,True,9.79,17.88,1078,1067,990,1035,0.034,0.081,0.512,0.178,GNN,79938487
60,South to Northeast,all bridges old town destroyed_optimistic,True,11.29,24.57,1657,1291,1374,1287,0.037,0.092,0.443,0.249,TRAFFIC,79966487
60,Ring road W to E,all bridges old town destroyed_optimistic,True,16.39,18.45,1109,1105,1128,1115,0.038,0.085,0.509,0.312,TRAFFIC,80058487
60,Grigiskes to Verkiai,all bridges old town destroyed_optimistic,True,26.28,41.22,2530,2416,2377,2402,0.036,0.095,0.512,0.328,GNN,79970887
60,Salininkai to Seskine,all bridges old town destroyed_optimistic,True,10.27,18.6,1221,1011,991,1118,0.03,0.083,0.547,0.247,GNN,79913487
60,Old Town loop,Car crashes in Lazdynai,True,1.53,5.51,333,328,328,328,0.025,0.079,0.472,0.095,TIE,79986160
60,Gediminas Ave,Car crashes in Lazdynai,True,1.08,3.95,237,237,237,234,0.025,0.077,0.506,0.079,TIE,79974160
60,Station to centre,Car crashes in Lazdynai,True,1.69,7.31,453,424,424,421,0.025,0.077,0.46,0.118,TIE,79969360
60,Uzupis internal,Car crashes in Lazdynai,True,2.14,6.13,368,368,368,368,0.026,0.077,0.489,0.086,TIE,79997360
60,Zirmunai to Naujamiestis,Car crashes in Lazdynai,True,5.68,14.78,1053,720,1013,1091,0.027,0.223,0.509,0.405,TRAFFIC,79992260
60,Antakalnis to centre,Car crashes in Lazdynai,True,3.93,10.57,673,596,665,756,0.028,0.078,0.477,0.256,TRAFFIC,80001660
60,Seskine to Old Town,Car crashes in Lazdynai,True,6.05,12.66,759,760,742,779,0.028,0.077,0.499,0.33,GNN,80012160
60,Karoliniskes to Uzupis,Car crashes in Lazdynai,True,7.56,17.65,1114,1004,1073,1161,0.034,0.079,0.479,0.294,TRAFFIC,79998960
60,Justiniskes to centre,Car crashes in Lazdynai,True,6.61,13.12,785,790,736,808,0.03,0.121,0.512,0.3,GNN,80014260
60,Fabijoniskes to river,Car crashes in Lazdynai,True,6.13,11.51,669,712,790,1039,0.028,0.082,0.469,0.293,TRAFFIC,80030360
60,West to East,Car crashes in Lazdynai,True,13.05,23.8,1523,1333,1585,1707,0.033,0.086,0.534,0.308,TRAFFIC,80058360
60,North to South,Car crashes in Lazdynai,True,11.58,17.51,1221,880,987,1107,0.032,0.087,0.505,0.305,TRAFFIC,80033360
60,Pilaite to Pasilaiciai,Car crashes in Lazdynai,True,9.88,15.48,929,929,929,929,0.04,0.089,0.505,0.308,TIE,79998360
60,Lazdynai to Antakalnis,Car crashes in Lazdynai,True,10.11,19.42,1404,926,1021,1220,0.042,0.086,0.489,0.299,TRAFFIC,80013560
60,Pilaite to Fabijoniskes,Car crashes in Lazdynai,True,10.76,17.46,1030,1065,1074,1217,0.044,0.079,0.481,0.284,TRAFFIC,80003360
60,Lazdynai to Jeruzale,Car crashes in Lazdynai,True,9.79,16.21,1078,867,862,1035,0.03,0.083,0.471,0.292,GNN,79943360
60,South to Northeast,Car crashes in Lazdynai,True,11.13,23.23,1716,1072,1078,1287,0.037,0.088,0.517,0.196,TRAFFIC,79971360
60,Ring road W to E,Car crashes in Lazdynai,True,16.35,25.16,1920,1099,1118,1876,0.041,0.085,0.464,0.319,TRAFFIC,80063360
60,Grigiskes to Verkiai,Car crashes in Lazdynai,True,24.31,30.49,1923,1736,1736,1855,0.037,0.088,0.465,0.306,TIE,79975760
