data_level,route,scenario,is_crisis,route_distance_km,avg_route_duration_minutes,time_shortest_s,time_traffic_s,time_gnn_s,time_classifier_s,compute_time_shortest_s,compute_time_traffic_s,compute_time_gnn_s,compute_time_classifier_s,winner,seed
minor,Zirmunai to Naujamiestis,Car crashes in Lazdynai,True,5.68,15.07,1053,756,871,1091,0.026,0.18,0.482,0.399,TRAFFIC,80086160
minor,Antakalnis to centre,Car crashes in Lazdynai,True,3.93,10.76,673,618,618,668,0.032,0.079,0.508,0.276,TIE,80095560
minor,Seskine to Old Town,Car crashes in Lazdynai,True,6.05,12.5,759,741,731,779,0.028,0.079,0.584,0.302,GNN,80106060
minor,Karoliniskes to Uzupis,Car crashes in Lazdynai,True,7.56,17.98,1114,1043,1068,1161,0.036,0.079,0.509,0.313,TRAFFIC,80092860
minor,Justiniskes to centre,Car crashes in Lazdynai,True,6.61,13.94,785,888,802,808,0.027,0.089,0.42,0.322,GNN,80108160
minor,Fabijoniskes to river,Car crashes in Lazdynai,True,6.13,11.15,669,669,669,911,0.028,0.081,0.536,0.317,TIE,80124260
minor,West to East,Car crashes in Lazdynai,True,13.05,24.85,1523,1459,1400,1707,0.045,0.092,0.534,0.298,GNN,80152260
minor,North to South,Car crashes in Lazdynai,True,11.58,17.51,1221,880,880,1107,0.035,0.089,0.436,0.294,TIE,80127260
minor,Pilaite to Pasilaiciai,Car crashes in Lazdynai,True,9.88,16.19,929,1014,929,1108,0.028,0.081,0.469,0.297,GNN,80092260
minor,Lazdynai to Antakalnis,Car crashes in Lazdynai,True,10.11,19.52,1404,938,938,1220,0.037,0.076,0.498,0.303,TIE,80107460
minor,Pilaite to Fabijoniskes,Car crashes in Lazdynai,True,10.76,17.45,1030,1064,1052,1209,0.029,0.083,0.494,0.323,GNN,80097260
minor,Lazdynai to Jeruzale,Car crashes in Lazdynai,True,9.79,17.51,1078,1023,862,1035,0.028,0.08,0.464,0.285,GNN,80037260
minor,South to Northeast,Car crashes in Lazdynai,True,11.13,23.23,1716,1072,1072,1287,0.029,0.085,0.485,0.179,TIE,80065260
minor,Ring road W to E,Car crashes in Lazdynai,True,16.35,25.16,1920,1099,1105,1876,0.036,0.075,0.498,0.316,TRAFFIC,80157260
minor,Grigiskes to Verkiai,Car crashes in Lazdynai,True,24.31,30.49,1923,1736,1736,1855,0.036,0.084,0.475,0.309,TIE,80069660
minor,Salininkai to Seskine,Car crashes in Lazdynai,True,9.3,15.07,1079,730,730,741,0.032,0.072,0.43,0.276,TIE,80012260
minor,Old Town loop,Protest at seimas Closure on Gedimino pr.,True,1.53,5.51,333,328,328,328,0.028,0.066,0.46,0.091,TIE,80079618
minor,Station to centre,Protest at seimas Closure on Gedimino pr.,True,1.69,7.31,453,424,424,421,0.025,0.066,0.487,0.127,TIE,80062818
minor,Uzupis internal,Protest at seimas Closure on Gedimino pr.,True,2.14,6.13,368,368,368,368,0.115,0.073,0.41,0.092,TIE,80090818
minor,Zirmunai to Naujamiestis,Protest at seimas Closure on Gedimino pr.,True,5.68,15.07,1053,756,871,1091,0.031,0.084,0.535,0.194,TRAFFIC,80085718
minor,Antakalnis to centre,Protest at seimas Closure on Gedimino pr.,True,3.93,10.76,673,618,618,668,0.027,0.066,0.534,0.236,TIE,80095118
minor,Seskine to Old Town,Protest at seimas Closure on Gedimino pr.,True,6.65,15.48,952,906,903,939,0.026,0.07,0.557,0.33,GNN,80105618
minor,Karoliniskes to Uzupis,Protest at seimas Closure on Gedimino pr.,True,8.49,21.57,1361,1227,1011,1484,0.035,0.083,0.458,0.326,GNN,80092418
minor,Justiniskes to centre,Protest at seimas Closure on Gedimino pr.,True,6.61,13.94,785,888,802,808,0.028,0.069,0.443,0.294,GNN,80107718
minor,Fabijoniskes to river,Protest at seimas Closure on Gedimino pr.,True,6.13,11.15,669,669,669,911,0.028,0.074,0.488,0.288,TIE,80123818
minor,West to East,Protest at seimas Closure on Gedimino pr.,True,13.05,24.85,1523,1459,1400,1707,0.031,0.087,0.556,0.317,GNN,80151818
minor,North to South,Protest at seimas Closure on Gedimino pr.,True,11.58,17.51,1221,880,880,1107,0.031,0.085,0.504,0.312,TIE,80126818
minor,Pilaite to Pasilaiciai,Protest at seimas Closure on Gedimino pr.,True,9.88,16.19,929,1014,929,1108,0.034,0.076,0.467,0.176,GNN,80091818
minor,Lazdynai to Antakalnis,Protest at seimas Closure on Gedimino pr.,True,10.3,17.12,1116,938,938,1031,0.029,0.076,0.593,0.315,TIE,80107018
minor,Pilaite to Fabijoniskes,Protest at seimas Closure on Gedimino pr.,True,10.76,17.45,1030,1064,1052,1209,0.036,0.083,0.445,0.296,GNN,80096818
minor,Lazdynai to Jeruzale,Protest at seimas Closure on Gedimino pr.,True,9.79,17.51,1078,1023,862,1035,0.035,0.09,0.522,0.289,GNN,80036818
minor,South to Northeast,Protest at seimas Closure on Gedimino pr.,True,11.29,22.74,1657,1072,1072,1287,0.038,0.083,0.516,0.331,TIE,80064818
minor,Ring road W to E,Protest at seimas Closure on Gedimino pr.,True,16.39,18.4,1109,1099,1105,1115,0.036,0.076,0.427,0.332,TRAFFIC,80156818
minor,Grigiskes to Verkiai,Protest at seimas Closure on Gedimino pr.,True,24.31,30.49,1923,1736,1736,1855,0.036,0.086,0.429,0.343,TIE,80069218
minor,Salininkai to Seskine,Protest at seimas Closure on Gedimino pr.,True,9.3,15.07,1079,730,730,741,0.029,0.072,0.452,0.282,TIE,80011818
minor,Old Town loop,Shopping spree at Ozas while Ukmerges g. has construction,True,1.53,5.51,333,328,328,328,0.024,0.078,0.474,0.104,TIE,80076589
minor,Gediminas Ave,Shopping spree at Ozas while Ukmerges g. has construction,True,1.08,3.95,237,237,237,237,0.024,0.074,0.422,0.086,TIE,80064589
minor,Station to centre,Shopping spree at Ozas while Ukmerges g. has construction,True,1.69,7.31,453,424,424,421,0.03,0.078,0.444,0.124,TIE,80059789
minor,Uzupis internal,Shopping spree at Ozas while Ukmerges g. has construction,True,2.14,6.13,368,368,368,368,0.028,0.072,0.544,0.086,TIE,80087789
minor,Zirmunai to Naujamiestis,Shopping spree at Ozas while Ukmerges g. has construction,True,5.68,15.07,1053,756,871,1091,0.033,0.162,0.538,0.419,TRAFFIC,80082689
minor,Antakalnis to centre,Shopping spree at Ozas while Ukmerges g. has construction,True,3.93,10.76,673,618,618,668,0.025,0.083,0.459,0.251,TIE,80092089
minor,Seskine to Old Town,Shopping spree at Ozas while Ukmerges g. has construction,True,6.05,12.5,759,741,731,779,0.033,0.069,0.605,0.327,GNN,80102589
minor,Karoliniskes to Uzupis,Shopping spree at Ozas while Ukmerges g. has construction,True,7.56,17.98,1114,1043,1068,1161,0.033,0.091,0.57,0.289,TRAFFIC,80089389
minor,Justiniskes to centre,Shopping spree at Ozas while Ukmerges g. has construction,True,6.61,13.94,785,888,802,808,0.028,0.081,0.534,0.286,GNN,80104689
minor,Fabijoniskes to river,Shopping spree at Ozas while Ukmerges g. has construction,True,6.13,11.15,669,669,669,911,0.035,0.075,0.495,0.187,TIE,80120789
minor,West to East,Shopping spree at Ozas while Ukmerges g. has construction,True,13.05,24.85,1523,1459,1400,1707,0.031,0.089,0.642,0.321,GNN,80148789
